git_hash=280a4d3,max_arr_sz=12500000000
n,duration_ns
2000000002,657000.000000
2125000002,796000.000000
2250000002,481000.000000
2375000002,726000.000000
2500000002,817000.000000
2625000002,759000.000000
2750000002,780000.000000
2875000002,745000.000000
3000000002,607000.000000
3125000002,758000.000000
3250000002,769000.000000
3375000002,555000.000000
3500000002,649000.000000
3625000002,711000.000000
3750000002,827000.000000
3875000002,741000.000000
4000000002,834000.000000
4125000002,710000.000000
4250000002,674000.000000
4375000002,962000.000000
4500000002,691000.000000
4625000002,1131000.000000
4750000002,615000.000000
4875000002,660000.000000
5000000002,766000.000000
5125000002,651000.000000
5250000002,812000.000000
5375000002,802000.000000
5500000002,671000.000000
5625000002,792000.000000
5750000002,748000.000000
5875000002,757000.000000
6000000002,687000.000000
6125000002,774000.000000
6250000002,962000.000000
6375000002,688000.000000
6500000002,773000.000000
6625000002,627000.000000
6750000002,566000.000000
6875000002,898000.000000
7000000002,699000.000000
7125000002,1010000.000000
7250000002,861000.000000
7375000002,687000.000000
7500000002,826000.000000
7625000002,638000.000000
7750000002,756000.000000
7875000002,884000.000000
8000000002,736000.000000
8125000002,787000.000000
8250000002,636000.000000
8375000002,701000.000000
8500000002,847000.000000
8625000002,656000.000000
8750000002,705000.000000
8875000002,655000.000000
9000000002,845000.000000
9125000002,822000.000000
9250000002,707000.000000
9375000002,757000.000000
9500000002,691000.000000
9625000002,769000.000000
9750000002,796000.000000
9875000002,501000.000000
10000000002,710000.000000
10125000002,668000.000000
10250000002,765000.000000
10375000002,959000.000000
10500000002,681000.000000
10625000002,901000.000000
10750000002,779000.000000
10875000002,714000.000000
11000000002,800000.000000
11125000002,644000.000000
11250000002,734000.000000
11375000002,748000.000000
11500000002,727000.000000
11625000002,776000.000000
11750000002,738000.000000
11875000002,748000.000000
12000000002,741000.000000
12125000002,665000.000000
12250000002,742000.000000
12375000002,672000.000000
2,567000.000000
125000002,762000.000000
250000002,768000.000000
375000002,763000.000000
500000002,738000.000000
625000002,720000.000000
750000002,694000.000000
875000002,828000.000000
1000000002,703000.000000
1125000002,771000.000000
1250000002,658000.000000
1375000002,781000.000000
1500000002,874000.000000
1625000002,714000.000000
1750000002,772000.000000
1875000002,796000.000000
2000000002,803000.000000
