git_hash=8557d56,max_arr_sz=10000000000
n,duration_ns
4100000002,563000.000000
4200000002,577000.000000
4300000002,604000.000000
4400000002,613000.000000
4500000002,638000.000000
4600000002,601000.000000
4700000002,620000.000000
4800000002,573000.000000
4900000002,598000.000000
5000000002,701000.000000
5100000002,650000.000000
5200000002,606000.000000
5300000002,586000.000000
5400000002,626000.000000
5500000002,637000.000000
5600000002,612000.000000
5700000002,594000.000000
5800000002,596000.000000
5900000002,560000.000000
6000000002,598000.000000
6100000002,604000.000000
6200000002,601000.000000
6300000002,578000.000000
6400000002,571000.000000
6500000002,639000.000000
6600000002,594000.000000
6700000002,595000.000000
6800000002,566000.000000
6900000002,657000.000000
7000000002,624000.000000
7100000002,597000.000000
7200000002,564000.000000
7300000002,582000.000000
7400000002,599000.000000
7500000002,677000.000000
7600000002,556000.000000
7700000002,614000.000000
7800000002,560000.000000
7900000002,593000.000000
8000000002,606000.000000
8100000002,581000.000000
8200000002,588000.000000
8300000002,604000.000000
8400000002,610000.000000
8500000002,626000.000000
8600000002,677000.000000
8700000002,584000.000000
8800000002,576000.000000
8900000002,587000.000000
9000000002,599000.000000
9100000002,628000.000000
9200000002,593000.000000
9300000002,635000.000000
9400000002,614000.000000
9500000002,558000.000000
9600000002,620000.000000
9700000002,642000.000000
9800000002,632000.000000
9900000002,554000.000000
2,518000.000000
100000002,622000.000000
200000002,591000.000000
300000002,616000.000000
400000002,578000.000000
500000002,605000.000000
600000002,615000.000000
700000002,646000.000000
800000002,584000.000000
900000002,1111000.000000
1000000002,589000.000000
1100000002,584000.000000
1200000002,608000.000000
1300000002,588000.000000
1400000002,570000.000000
1500000002,634000.000000
1600000002,595000.000000
1700000002,640000.000000
1800000002,619000.000000
1900000002,635000.000000
2000000002,603000.000000
2100000002,621000.000000
2200000002,578000.000000
2300000002,606000.000000
2400000002,577000.000000
2500000002,667000.000000
2600000002,623000.000000
2700000002,625000.000000
2800000002,590000.000000
2900000002,636000.000000
3000000002,662000.000000
3100000002,669000.000000
3200000002,628000.000000
3300000002,576000.000000
3400000002,646000.000000
3500000002,627000.000000
3600000002,606000.000000
3700000002,624000.000000
3800000002,589000.000000
3900000002,632000.000000
4000000002,631000.000000
4100000002,611000.000000
4200000002,626000.000000
4300000002,648000.000000
4400000002,604000.000000
4500000002,574000.000000
4600000002,618000.000000
4700000002,562000.000000
4800000002,585000.000000
4900000002,612000.000000
5000000002,629000.000000
5100000002,574000.000000
5200000002,629000.000000
5300000002,578000.000000
5400000002,611000.000000
5500000002,590000.000000
5600000002,610000.000000
5700000002,599000.000000
5800000002,601000.000000
5900000002,610000.000000
6000000002,562000.000000
6100000002,622000.000000
6200000002,572000.000000
6300000002,572000.000000
6400000002,763000.000000
6500000002,752000.000000
6600000002,538000.000000
6700000002,588000.000000
6800000002,585000.000000
6900000002,600000.000000
7000000002,581000.000000
7100000002,610000.000000
7200000002,560000.000000
7300000002,597000.000000
7400000002,567000.000000
7500000002,729000.000000
7600000002,588000.000000
7700000002,583000.000000
7800000002,591000.000000
