git_hash=8557d56,max_arr_sz=10000000000
n,duration_ns
2200000002,587776.000000
2300000002,590848.000000
2400000002,528384.000000
2500000002,638976.000000
2600000002,536576.000000
2700000002,580608.000000
2800000002,603136.000000
2900000002,686080.000000
3000000002,587776.000000
3100000002,583680.000000
3200000002,593920.000000
3300000002,596992.000000
3400000002,618496.000000
3500000002,672768.000000
3600000002,602112.000000
3700000002,572416.000000
3800000002,579584.000000
3900000002,873472.000000
4000000002,613376.000000
4100000002,533504.000000
4200000002,610304.000000
4300000002,583680.000000
4400000002,611328.000000
4500000002,606208.000000
4600000002,586752.000000
4700000002,587776.000000
4800000002,636928.000000
4900000002,564224.000000
5000000002,579584.000000
5100000002,587776.000000
5200000002,605184.000000
5300000002,552960.000000
5400000002,605184.000000
5500000002,585728.000000
5600000002,575488.000000
5700000002,545792.000000
5800000002,584704.000000
5900000002,595968.000000
6000000002,540672.000000
6100000002,599040.000000
6200000002,579584.000000
6300000002,595968.000000
6400000002,582656.000000
6500000002,579584.000000
6600000002,558080.000000
6700000002,593920.000000
6800000002,528384.000000
6900000002,598016.000000
7000000002,530432.000000
7100000002,604160.000000
7200000002,560128.000000
7300000002,566272.000000
7400000002,540672.000000
7500000002,577536.000000
7600000002,548864.000000
7700000002,580608.000000
7800000002,1044479.937500
7900000002,598016.000000
8000000002,604160.000000
8100000002,604160.000000
8200000002,593920.000000
8300000002,598016.000000
8400000002,558080.000000
8500000002,546816.000000
8600000002,602112.000000
8700000002,602112.000000
8800000002,632832.000000
8900000002,588800.000000
9000000002,590848.000000
9100000002,601088.000000
9200000002,578560.000000
9300000002,601088.000000
9400000002,623616.000000
9500000002,565248.000000
9600000002,566272.000000
9700000002,736256.000000
9800000002,570368.000000
9900000002,627712.000000
2,544768.000000
100000002,547840.000000
200000002,798720.000000
300000002,605184.000000
400000002,616448.000000
500000002,565248.000000
600000002,599040.000000
700000002,564224.000000
800000002,562176.000000
900000002,567296.000000
1000000002,545792.000000
1100000002,586752.000000
1200000002,543744.000000
1300000002,530432.000000
1400000002,545792.000000
1500000002,568320.000000
1600000002,560128.000000
1700000002,612352.000000
1800000002,571392.000000
1900000002,603136.000000
2000000002,588800.000000
2100000002,610304.000000
2200000002,558080.000000
2300000002,607232.000000
2400000002,553984.000000
2500000002,723968.000000
2600000002,560128.000000
2700000002,601088.000000
2800000002,595968.000000
2900000002,584704.000000
3000000002,558080.000000
3100000002,579584.000000
3200000002,659456.000000
3300000002,731136.000000
3400000002,569344.000000
3500000002,877568.000000
3600000002,531456.000000
3700000002,524288.000000
3800000002,595968.000000
3900000002,579584.000000
4000000002,593920.000000
4100000002,579584.000000
4200000002,601088.000000
4300000002,620544.000000
4400000002,565248.000000
4500000002,636928.000000
4600000002,584704.000000
4700000002,556032.000000
4800000002,736256.000000
4900000002,553984.000000
5000000002,526336.000000
5100000002,580608.000000
5200000002,556032.000000
5300000002,735232.000000
5400000002,601088.000000
5500000002,584704.000000
5600000002,707584.000000
5700000002,583680.000000
5800000002,629760.000000
5900000002,619520.000000
6000000002,604160.000000
6100000002,537600.000000
6200000002,603136.000000
6300000002,758784.000000
6400000002,576512.000000
6500000002,562176.000000
6600000002,571392.000000
6700000002,569344.000000
6800000002,547840.000000
6900000002,559104.000000
7000000002,528384.000000
7100000002,540672.000000
7200000002,488448.000000
7300000002,587776.000000
7400000002,836608.000000
7500000002,619520.000000
7600000002,576512.000000
7700000002,594944.000000
7800000002,618496.000000
7900000002,570368.000000
8000000002,598016.000000
8100000002,942080.000000
8200000002,644096.000000
8300000002,615424.000000
8400000002,587776.000000
8500000002,592896.000000
8600000002,564224.000000
8700000002,612352.000000
8800000002,574464.000000
8900000002,602112.000000
9000000002,599040.000000
9100000002,592896.000000
9200000002,578560.000000
9300000002,584704.000000
9400000002,719872.000000
9500000002,586752.000000
9600000002,607232.000000
9700000002,559104.000000
9800000002,602112.000000
9900000002,609280.000000
2,561152.000000
100000002,589824.000000
200000002,551936.000000
300000002,591872.000000
400000002,532480.000000
500000002,576512.000000
600000002,510976.031250
700000002,611328.000000
800000002,644096.000000
900000002,561152.000000
1000000002,528384.000000
1100000002,779264.000000
1200000002,613376.000000
1300000002,582656.000000
1400000002,566272.000000
1500000002,633856.000000
1600000002,565248.000000
1700000002,583680.000000
1800000002,528384.000000
1900000002,1137664.000000
2000000002,570368.000000
2100000002,616448.000000
2200000002,572416.000000
2300000002,549888.000000
2400000002,531456.000000
2500000002,578560.000000
2600000002,555008.000000
2700000002,621568.000000
2800000002,579584.000000
2900000002,582656.000000
3000000002,553984.000000
3100000002,628736.000000
3200000002,613376.000000
