git_hash=8557d56,max_arr_sz=10000000000
n,duration_ns
600000002,586000.000000
600000002,581000.000000
600000002,563000.000000
600000002,602000.000000
600000002,548000.000000
600000002,611000.000000
600000002,541000.000000
600000002,599000.000000
600000002,570000.000000
700000002,598000.000000
700000002,619000.000000
700000002,662000.000000
700000002,640000.000000
700000002,657000.000000
700000002,616000.000000
700000002,603000.000000
700000002,619000.000000
700000002,594000.000000
700000002,621000.000000
700000002,613000.000000
700000002,864000.000000
700000002,593000.000000
700000002,848000.000000
700000002,610000.000000
700000002,810000.000000
700000002,603000.000000
700000002,681000.000000
700000002,758000.000000
700000002,686000.000000
700000002,546000.000000
700000002,594000.000000
700000002,599000.000000
700000002,605000.000000
700000002,931000.000000
700000002,670000.000000
700000002,594000.000000
700000002,568000.000000
700000002,672000.000000
700000002,613000.000000
800000002,546000.000000
800000002,573000.000000
800000002,630000.000000
800000002,565000.000000
800000002,586000.000000
800000002,595000.000000
800000002,616000.000000
800000002,619000.000000
800000002,617000.000000
800000002,719000.000000
800000002,629000.000000
800000002,594000.000000
800000002,716000.000000
800000002,586000.000000
800000002,624000.000000
800000002,611000.000000
800000002,808000.000000
800000002,579000.000000
800000002,600000.000000
800000002,584000.000000
800000002,589000.000000
800000002,585000.000000
800000002,583000.000000
800000002,667000.000000
800000002,570000.000000
800000002,566000.000000
800000002,576000.000000
800000002,579000.000000
800000002,613000.000000
800000002,572000.000000
900000002,620000.000000
900000002,1077000.000000
900000002,635000.000000
900000002,619000.000000
900000002,611000.000000
900000002,611000.000000
900000002,588000.000000
900000002,635000.000000
900000002,587000.000000
900000002,698000.000000
900000002,608000.000000
900000002,604000.000000
900000002,608000.000000
900000002,619000.000000
900000002,608000.000000
900000002,592000.000000
900000002,646000.000000
900000002,619000.000000
900000002,652000.000000
900000002,620000.000000
900000002,647000.000000
900000002,602000.000000
900000002,621000.000000
900000002,654000.000000
900000002,616000.000000
900000002,607000.000000
900000002,601000.000000
900000002,615000.000000
900000002,609000.000000
900000002,626000.000000
1000000002,619000.000000
1000000002,593000.000000
1000000002,581000.000000
1000000002,579000.000000
1000000002,561000.000000
1000000002,594000.000000
1000000002,562000.000000
1000000002,662000.000000
1000000002,621000.000000
1000000002,557000.000000
1000000002,686000.000000
1000000002,590000.000000
1000000002,595000.000000
1000000002,603000.000000
1000000002,517000.000000
1000000002,621000.000000
1000000002,593000.000000
